,Intercept,Description1[T.LiveSalmonella],Description1[T.Probiotics-AND-LiveSalmonella],Unknown[T.B]
y153,0.000142697,0.972975484,0.972975484,0.972975484
y392,0.973543139,0.973543139,0.973543139,0.973543139
y307,0.026539307,0.137670489,0.973720444,0.495710311
y305,0.001424955,0.64576142,0.974093239,0.64576142
y226,0.975375088,0.430089471,0.975375088,0.430089471
y271,0.976725995,0.976725995,0.976725995,0.976725995
y187,0.977207277,0.552731644,0.977207277,0.977207277
y220,0.978358512,0.978358512,0.978358512,0.978358512
y184,0.004082936,0.197664707,0.978455135,0.962808972
y70,0.978736155,0.978736155,0.978736155,0.978736155
y285,0.980205023,0.980205023,0.980205023,0.980205023
y332,0.981311196,0.981311196,0.981311196,0.981311196
y371,1.06E-08,0.982996623,0.982996623,0.982996623
y386,0.062318699,0.983065168,0.983065168,0.329802875
y90,0.98431682,0.98431682,0.98431682,0.493791761
y100,0.787651111,0.986710834,0.986710834,0.986710834
